loss,id
1952.52124023,34
2815.09570312,86
2447.72070312,100
4382.45361328,118
10306.1796875,125
2550.35717773,139
1640.52746582,218
1544.18994141,226
3277.84179688,233
2184.09790039,237
1192.37768555,292
1208.89807129,306
1307.27258301,319
2571.99584961,343
2699.35986328,354
1898.40820312,386
2314.91113281,401
1653.26989746,402
1778.67419434,430
6628.17431641,458
2135.00927734,474
2015.74267578,476
1700.29174805,561
1714.14050293,563
3170.3190918,567
1475.28564453,584
1915.44921875,586
2167.03857422,611
4621.70410156,621
646.631713867,625
1978.11450195,685
3680.67138672,700
3171.20947266,711
1810.79626465,781
11053.3447266,793
5022.07861328,797
1614.37561035,804
1823.99145508,806
684.424682617,814
1687.14697266,819
5565.70263672,829
1271.12780762,887
1659.6505127,893
2320.55859375,909
1324.14562988,915
1878.32202148,951
2221.50683594,968
1384.02966309,969
6423.80126953,971
1160.3963623,982
6058.62890625,991
1950.66015625,992
4450.45898438,997
2036.76025391,1001
1449.14135742,1027
1220.7467041,1046
5146.15136719,1049
1054.18188477,1092
2292.16040039,1112
2309.73120117,1117
2059.77392578,1128
2672.25854492,1131
1895.56958008,1134
3779.35351562,1155
1484.40673828,1159
3218.86523438,1177
837.961547852,1186
6080.22460938,1189
2200.45239258,1194
1306.13317871,1257
2224.6784668,1270
4348.16308594,1272
2810.43554688,1282
3345.97607422,1288
1613.53564453,1367
2585.69165039,1391
4455.953125,1392
4207.10400391,1407
1526.43530273,1428
8225.94628906,1435
1161.38330078,1439
3599.19384766,1456
1196.21386719,1460
2403.7512207,1477
1664.62475586,1487
917.64440918,1503
4127.08837891,1522
6464.50585938,1533
10658.3564453,1571
1574.08398438,1572
1526.33898926,1574
1854.28613281,1613
1615.26599121,1662
2856.53662109,1666
9409.62792969,1671
3437.44433594,1688
2561.05200195,1700
2519.03662109,1703
2492.71679688,1707
2803.22070312,1726
1736.33544922,1740
2098.28881836,1742
2503.89257812,1755
4035.79345703,1757
906.459594727,1765
938.15222168,1795
3838.37792969,1809
2127.72558594,1826
3945.74511719,1845
3580.16186523,1860
1164.81518555,1861
1366.41223145,1896
2310.10229492,1904
1833.23425293,1949
3296.05493164,1961
1038.76416016,1963
2658.75463867,1972
3428.46386719,1982
3348.10717773,1983
4852.66845703,1993
804.922668457,1996
2195.11523438,2018
2235.94360352,2092
9800.07714844,2104
742.562988281,2107
979.983276367,2109
1917.37475586,2146
7742.15136719,2148
2697.49389648,2159
5596.33398438,2167
3629.875,2175
613.600097656,2180
2609.68286133,2234
3626.61108398,2251
1409.54150391,2257
9550.05371094,2269
6443.12158203,2278
1741.20458984,2286
3467.14453125,2332
2420.56762695,2357
977.067260742,2398
4430.71191406,2410
5230.63623047,2412
4004.06933594,2419
1330.98828125,2453
3316.14038086,2455
3456.28076172,2459
2493.38183594,2465
9234.72265625,2466
2344.72119141,2473
1733.73425293,2490
1514.60180664,2541
2150.55078125,2554
804.461791992,2560
2392.4675293,2568
2072.20092773,2570
4893.23925781,2579
2213.25341797,2580
872.200073242,2617
3191.82592773,2660
2556.47265625,2709
1650.03649902,2722
1052.6159668,2728
12781.6054688,2735
4496.69189453,2747
1160.06103516,2748
1939.11523438,2799
4088.97021484,2841
2863.09350586,2848
1541.16113281,2850
3216.11132812,2857
1173.35290527,2882
2296.86474609,2898
1243.37475586,2938
5314.00488281,2955
5914.51074219,2968
4046.33398438,2976
2093.15698242,2978
2036.52246094,3000
1853.27636719,3015
1857.23266602,3068
4210.44677734,3072
2172.14672852,3074
3658.8972168,3083
1575.07739258,3089
2477.84448242,3093
1562.11047363,3113
1652.39953613,3127
6550.14892578,3130
1242.90063477,3156
2267.68823242,3187
10289.2802734,3193
1310.82653809,3223
1460.61413574,3224
1099.28259277,3231
2622.54980469,3247
1525.78674316,3248
2244.59277344,3268
2532.87597656,3290
7194.84082031,3329
6173.66308594,3331
3487.11572266,3342
3340.78222656,3357
1646.60009766,3365
4519.98242188,3371
1298.80688477,3379
927.322631836,3391
3605.13330078,3404
6545.83105469,3487
756.570251465,3490
6086.66650391,3497
1561.41564941,3505
7852.44091797,3527
813.853820801,3528
10149.7597656,3548
4492.93554688,3549
855.992553711,3564
1326.07788086,3587
2154.55102539,3591
1447.02648926,3599
3034.45410156,3603
1655.72375488,3635
4628.97460938,3636
891.775024414,3648
12216.5136719,3662
3366.49438477,3670
1861.68725586,3671
1767.31884766,3687
1232.22363281,3705
1296.03356934,3710
2305.59155273,3711
1196.94299316,3736
7306.08691406,3756
