id,loss
34,2029.72680664
86,2403.81933594
100,2394.40405273
118,5020.76904297
125,11305.0146484
139,2664.23828125
218,1717.52246094
226,1361.44116211
233,3239.93066406
237,2111.5534668
292,1120.4407959
306,1211.78234863
319,1302.98498535
343,2556.27954102
354,3129.53222656
386,1881.11352539
401,2788.71484375
402,1596.17883301
430,1642.77734375
458,6678.29003906
474,2117.66137695
476,1962.57983398
561,1851.0402832
563,1539.58508301
567,3411.1171875
584,1455.20666504
586,2045.13793945
611,2225.60473633
621,4851.1171875
625,681.900085449
685,2019.02685547
700,3252.3503418
711,3022.41259766
781,1897.72387695
793,9916.15136719
797,5169.12353516
804,1789.35986328
806,1873.55273438
814,679.038879395
819,1606.84265137
829,5294.34667969
887,1246.87194824
893,1629.15966797
909,2190.52050781
915,1332.53881836
951,1897.18994141
968,2226.91210938
969,1325.34814453
971,6454.12890625
982,1139.80358887
991,5461.14941406
992,2153.14135742
997,4913.34912109
1001,1985.11035156
1027,1444.20556641
1046,1171.52832031
1049,4789.99462891
1092,1026.75976562
1112,2280.20092773
1117,2369.71948242
1128,2296.93969727
1131,2511.70166016
1134,1994.96020508
1155,3908.79345703
1159,1336.90710449
1177,3395.79370117
1186,800.671691895
1189,6064.42089844
1194,2383.40234375
1257,1396.48449707
1270,2086.46704102
1272,4690.89453125
1282,2745.20629883
1288,3303.13378906
1367,1504.39367676
1391,2633.12280273
1392,4794.92724609
1407,4272.234375
1428,1707.95947266
1435,8280.37792969
1439,1104.53149414
1456,3335.77124023
1460,1163.57275391
1477,2504.3581543
1487,1684.68566895
1503,1078.5402832
1522,4473.28857422
1533,6029.76513672
1571,11407.3085938
1572,1569.91760254
1574,1347.17480469
1613,1997.75024414
1662,1632.7331543
1666,2944.15625
1671,9649.37011719
1688,3697.6027832
1700,2627.01220703
1703,2513.28857422
1707,2539.34838867
1726,3080.87744141
1740,1689.79345703
1742,2052.57250977
1755,2580.75073242
1757,4095.95800781
1765,873.35925293
1795,902.640014648
1809,3556.3359375
1826,2241.55566406
1845,3714.1003418
1860,3680.79345703
1861,1112.80664062
1896,1215.45397949
