id,loss
34,1749.1317041
86,2052.23685303
100,2314.81366455
118,4005.96041016
125,14194.8944922
139,2888.33141602
218,1519.33468994
226,1201.92034668
233,3391.2719873
237,1845.61062988
292,1202.50763184
306,1318.22343018
319,1155.1880249
343,2123.57979004
354,2967.73407227
386,1722.24046631
401,2885.43215332
402,1374.74294922
430,1709.58561768
458,7508.09000977
474,2141.77560303
476,1919.50388428
561,1650.85418701
563,1622.66490723
567,2853.7816748
584,1601.78092041
586,1699.76095947
611,2350.44972168
621,4381.44368652
625,638.469754639
685,1860.22692871
700,3275.79452148
711,2647.9304541
781,1671.78407227
793,10799.5181445
797,4968.34738281
804,1952.99252197
806,1927.71047607
814,675.675875244
819,1443.44169189
829,5426.04638672
887,1323.72522461
893,1343.48362793
909,2210.94403809
915,1431.71950684
951,1856.4021875
968,2379.69447754
969,1151.1593457
971,6415.76967773
982,1130.12435425
991,4322.96948242
992,2051.24078613
997,4786.40099609
1001,2324.6113501
1027,1438.42135254
1046,1491.84223145
1049,5144.98293945
1092,1033.40933105
1112,1754.98381348
1117,1878.60317139
1128,2148.69539307
1131,2704.46120605
1134,2178.89803711
1155,3836.93047363
1159,1355.73591797
1177,3634.11712891
1186,839.497929688
1189,6468.14208008
1194,2461.19764648
1257,1191.91251709
1270,2060.21322266
1272,4481.29647461
1282,2705.53443848
1288,3563.69432617
1367,1367.52162598
1391,2692.84749023
1392,3861.39027344
1407,4809.27000977
1428,1467.68706055
1435,6812.91188477
1439,924.676951904
1456,3570.53425293
1460,1115.69693481
1477,1915.09876709
1487,1508.87112793
1503,975.495318604
1522,4856.27055664
1533,5489.05348633
1571,8197.7403418
1572,1318.65554443
1574,1361.351875
1613,1767.38408936
1662,1432.61141113
1666,2562.92569336
1671,8111.3146582
1688,2944.92837891
1700,2576.8610791
1703,2336.82537354
1707,2606.61308594
1726,3603.61854004
1740,1650.7283374
1742,2246.2931543
1755,3058.93398926
1757,4619.13126953
1765,772.954477539
1795,854.739407959
1809,4398.25334473
1826,2411.09142578
1845,3772.02447266
1860,3888.74755371
1861,1137.9317041
1896,1227.17917236
1904,2720.62297363
1949,2514.92356445
1961,2319.16991943
1963,965.416975098
1972,3057.04526367
1982,3953.88135742
1983,3249.01791504
1993,4926.73267578
1996,749.275527344
2018,1937.67930664
2092,2262.13393799
2104,9143.44738281
2107,691.010115967
2109,974.199337158
2146,1699.28183838
2148,6849.83911133
2159,2310.83536133
2167,6432.99165039
2175,3966.17415039
2180,623.588865967
2234,2158.32134766
2251,3629.04150879
2257,1315.9772998
2269,7865.89348633
2278,5811.18755859
2286,1712.06276367
2332,3400.55366699
2357,2388.6180957
2398,870.471855469
2410,6564.03454102
2412,5226.67305664
2419,4448.19661621
2453,1296.36974365
2455,3205.93282227
2459,2940.55455078
2465,2924.09650879
2466,8946.584375
2473,2373.49509766
2490,1564.50522217
2541,1775.19161621
2554,1995.88987305
2560,908.762335205
2568,1989.9513501
2570,1791.31692139
2579,4848.30947266
2580,1858.68072266
2617,822.547652588
2660,3063.2573291
2709,2535.4473584
2722,1524.977146
2728,856.546463623
2735,14702.188125
2747,4358.45239258
2748,1080.1334314
2799,2026.21287598
2841,4323.82833496
2848,2990.99495605
2850,1515.42085937
2857,3181.95490234
2882,1073.9230896
2898,2376.00514648
2938,1144.7878125
2955,5433.63821289
2968,5618.97030273
2976,3870.05703613
2978,2232.04711426
3000,1916.17615234
3015,1832.23348633
3068,1809.51414307
3072,4959.69134766
3074,2256.7650708
3083,4453.60335449
3089,2026.84400635
3093,2904.60584473
3113,1289.81925537
3127,1610.14070313
3130,7333.37947266
3156,943.604411621
3187,2323.24922363
3193,9217.92605469
3223,1257.21664795
3224,1050.07584106
3231,1108.80965332
3247,2481.8252002
3248,1534.28651855
3268,2403.57494629
3290,2675.18000977
3329,7386.71071289
3331,6707.85662109
